"elapsed time [ms]","stats.allocated","stats.active","stats.mapped"
3.760914,217320,290816,17068032
1004.593860,6992648,7753728,37113856
2005.991971,6992648,7753728,37113856
3008.189784,6992648,7753728,37113856
4010.963773,7055496,7827456,37220352
5013.013350,7055496,7827456,37220352
6013.628747,3900769416,3901849600,3948109824
7013.858604,7927301256,7928430592,7997759488
8014.856118,20007461256,20008787968,20136792064
9018.618157,20007461256,20008787968,20136792064
10019.400696,20007461256,20008787968,20136792064
11022.552985,20007461256,20008787968,20136792064
12023.611503,20007461256,20008787968,20136792064
13024.714477,20007461256,20008787968,20136792064
14027.876894,20007461256,20008787968,20136792064
15028.805072,25376426568,25377837056,25526812672
16029.887087,28597803720,28599283712,28748259328
17031.709171,28597803720,28599283712,28748259328
18032.790644,28597803720,28599283712,28748259328
19034.979291,28597803720,28599283712,28748259328
20036.032229,28597803720,28599283712,28748259328
21037.082354,30208416456,30209908736,30358884352
22038.187747,37187746504,37189292032,37363433472
23039.454996,37187746504,37189292032,37363433472
24040.678713,37187746504,37189292032,37363433472
25041.950110,37187746504,37189292032,37363433472
26042.999886,37187746504,37189292032,37363433472
27044.051164,37724617416,37726167040,37900308480
28045.092799,40408980168,40410550272,40584691712
29046.309353,45777697480,45779308544,45982810112
30047.406631,45777697480,45779308544,45982810112
31048.466245,45777697480,45779308544,45982810112
32049.514824,45777697480,45779308544,45982810112
33050.623044,45777697480,45779308544,45982810112
34051.784024,49804399240,49806110720,50015903744
35053.290252,60944701320,60946616320,61198352384
36055.689170,75709161160,75711430656,76023963648
37057.851534,85393222088,85400440832,85712973824
38060.038971,93918116440,93944381440,94256914432
39063.657989,99392047240,99463569408,99826434048
40067.202237,100778356040,100888915968,101251780608
41071.111647,102559014184,102724825088,103087689728
42073.866546,107677278488,107952058368,108314923008
43076.594446,110989210264,111315513344,111678377984
44079.158807,115296832024,115670990848,116034625536
45080.889253,121748341816,122235240448,122657009664
46082.643194,119669730936,120235737088,120659845120
47084.294770,120901921432,121498386432,121922379776
48086.034775,107177205864,107792011264,108220153856
49087.692507,95304678008,95930892288,96900157440
50089.333090,79910558152,80537464832,81105059840
51091.122454,60050875976,60677550080,61649383424
52092.829530,58306049608,58932707328,59367665664
53094.418399,58306049608,58932707328,59367665664
54096.026121,58306049608,58932707328,59367665664
55097.718104,58306049608,58932707328,59367665664
56099.410876,59379791432,60006457344,60441415680
57101.007592,62064145992,62690832384,63125790720
58102.618418,66359113288,66985832448,67420790784
59104.232679,66895984200,67522707456,67957665792
60105.908130,66895984200,67522707456,67957665792
61107.466754,66895984200,67522707456,67957665792
62109.075172,67969726024,68596457472,69031415808
63110.766029,73606880200,74233675776,74668634112
64112.698011,84181279880,84824072192,85257637888
65115.747242,98964052584,99624329216,100056301568
66117.824060,110049804072,110737895424,111172444160
67119.703533,119091211656,119806050304,120240648192
68123.488577,122786239192,123548831744,123989733376
69127.747383,125003975512,125834547200,126281572352
70131.327183,128168293320,129061879808,129516318720
71133.491146,131760645016,132729745408,133189206016
72136.300921,135593778232,136627695616,137096597504
73138.768286,139108665592,140197621760,140667060224
74141.104408,138549586296,139700830208,140184039424
75142.809800,132059809416,133271568384,133833846784
76144.442845,124743789160,125973237760,127073337344
77146.089100,111306231912,112548298752,113786142720
78147.728823,99396317752,100645789696,101752545280
79149.363495,93919381416,95169232896,95739215872
80150.701412,76204788264,77454454784,78562824192
81152.500125,78352271912,79601954816,80173449216
